0,0,constant,system,system,
potentialDifference,chargeDensity,ionProperties,gridIndependence,gridIndependence,
boundaryField.bottom.value,boundaryField.bottom.value,ionMobility,xmesh,ymesh,
uniform,uniform, , , ,fileName
37.1961752759811,3.29334935893537E-09,2.68844845627377E-07,75,122,a0R5GIv11
37.1961752759811,3.29334935893537E-09,2.68844845627377E-07,110,180,a0R5GIv12
37.1961752759811,3.29334935893537E-09,2.68844845627377E-07,165,269,a0R5GIv13
37.1961752759811,3.29334935893537E-09,2.68844845627377E-07,248,404,a0R5GIv14
37.1961752759811,3.29334935893537E-09,2.68844845627377E-07,372,604,a0R5GIv15
74.3923505519623,6.58669871787074E-11,5.37689691254754E-07,75,122,a0R5GIv16
74.3923505519623,6.58669871787074E-11,5.37689691254754E-07,110,180,a0R5GIv17
74.3923505519623,6.58669871787074E-11,5.37689691254754E-07,165,269,a0R5GIv18
74.3923505519623,6.58669871787074E-11,5.37689691254754E-07,248,404,a0R5GIv19
74.3923505519623,6.58669871787074E-11,5.37689691254754E-07,372,604,a0R5GIv20
